//GUIDE FOR TRANSLATORS
// Updated:11th of May, 2015

// 1) text with yellow background is comments and IS NOT to be translated
// 2) text with red background is ID's and IS NOT to be translated
// 3) codes inside the text MUST BE LEFT AS IS. 
// E.g. “... a second time. \n\nThe second heat-treatment...”: The '\n\n' and space around must be left as is
// 4) If there is a max character limit it will be stated in comments sections



//MATERIALS

Garbage	:		Ubrugeligt materiale
MaterialDescription_Nanorobot_Computer	: Den intelligente del af nanorobotten som analyserer og benytter data fra nanorobottens sensorer og som hjælper den med at navigere til de områder der skal have medicin.

Microprocessor	:	Mikroprocessor
MaterialDescription_Microprocessor	:	En meget lille computer som indsamler og behandler data, sender dem trådløst til en overvågningsenhed, som så beregner den dosis medicin der skal frigives.

Drug_Loaded_Nanorobot	: Nanorobot læsset med medicin
MaterialDescription_Drug_Loaded_Nanorobot	: Nanorobotten er blevet læsset med et medikament til sygdomsbekæmpelse.

Pipe	:	Rør
MaterialDescription_Pipe	:	Det her er ikke et rør.

Metal_Electrodes	:	Metalelektroder
MaterialDescription_Metal_Electrodes	:	Ledende metalelektroder som kan indfange den elektriske aktivitet i hjernen (normalt kaldet hjernebølger).

Preamplified_Signal	:	EEG System
MaterialDescription_Preamplified_Signal	: Metalelektroder tilsluttet en forstærker, som forstærker det ellers svage signal fra elektroderne.

Amplifier	:	Forstærker
MaterialDescription_Amplifier	: Disse går til elleve.

Smartphone	:	Smartphone
MaterialDescription_Smartphone	: En lille processorenhed som man kan holde i hånden og som er bærbar.\n\nDen modtager informationer gennem Wi-Fi eller Bluetooth-teknologi

Eeg_System	:	Indkapslet EEG-system
MaterialDescription_Eeg_System	: EEG (elektroencefalografi) er en optagelse af elektrisk aktivitet hen over hovedet.

Plastic_Casing	:	Plastic indkapsling
MaterialDescription_Plastic_Casing	: Plastic der bruges til at indkapsle forskellige genstande.

Silver_Electrodes	:	Sølvelektroder
MaterialDescription_Silver_Electrodes	: Ledende elektroder af sølv (Ag) som opfanger hjernens elektriske aktivitet (normalt kaldet hjernebølger)Sølv har den bedste ydelse for de konkrete signaler med lav amplitude som opdages af Full Scalp BCI’en.

Laptop	:	Laptop
MaterialDescription_Laptop	: En kraftig processorenhed som er bærbar. Den er normalt udstyret med Wi-Fi og Bluetooth-receptorer og software der går lige fra games til BCI optræningssystemer.\n\nDen kaldes også en ”computer”.

Wires	:	Ledninger
MaterialDescription_Wires	: Tråde eller stænger af metal som bruges til at overføre elektricitet og telekommunikations­signaler.

Eeg_Cap	:	EEG-hætte
MaterialDescription_Eeg_Cap	: En hætte lavet af strækbart og komfortabelt materiale (fx neopren), og som kan tilpasses hovedet.

Silver_Chloride	:	Sølvklorid
MaterialDescription_Silver_Chloride	: Sølvklorid er en kemisk forbindelse. Det laves om til sølv ved opvarmning.\n\nDet har forskellige formål, fx som en almindelig elektrode i elektrokemi, som antimikrobemiddel og som tilsætningsstof til farvning af glas.

Invasive_Eeg_System	:	Invasivt EEG-system
MaterialDescription_Invasive_Eeg_System	: Et elektrodegitter som kan transplanteres over på hjernebarken.

Flexible_Polymer_Electrodes	:	Fleksible polymer-elektroder
MaterialDescription_Flexible_Polymer_Electrodes	: En række fleksible polymer-elektroder som invasivt kan transplanteres under kraniet for at kunne optage selv de svageste signaler fra hjernevævet.\n\nDe er et mere biokompatibelt alternativ til metalelektroder fordi de ikke korroderer. 

Embedded_Dedicated_System	:	Indlejret specielt indrettet system
MaterialDescription_Embedded_Dedicated_System	: Et indlejret, specielt indrettet system til realtidsbehandling af et stort antal data, og eksporteringen af resultaterne til en ekstern anordning.

Wireless_Decoder	:	Trådløs dekoder
MaterialDescription_Wireless_Decoder	: En trådløs dekoder som modtager informationer fra fx en BCI-anordning.

Silicone	:	Silikone
MaterialDescription_Silicone	: Polymerer som varmebestandige og som har en gummiagtig tekstur. Det kan nemt formes til alle mulige former, og det findes ofte i Los Angeles.\n\nDet bruges også som fyldstof inden for proteseteknologien for at beskytte huden mod gnidning.

Polypropylene	:	Polypropylen
MaterialDescription_Polypropylene	: Polypropylen er en meget stiv og stærk plastic som kan formes til mange forskellige former.

Socket_Suspension	:	Led og ophæng
MaterialDescription_Socket_Suspension	: Det led og ophæng som forbinder protesen til personen som bruger det.

Pylon	:	Pylon
MaterialDescription_Pylon	: Pylonen er den interne ramme eller skelettet af protesen.

Motor	:	Motor
MaterialDescription_Motor	: En elektrisk maskine som omdanner elektrisk energi til mekanisk energi hvilket giver bevægelse.

Titanium	:	Titanium
MaterialDescription_Titanium	: Titan eller titanium (Ti) er et biokompatibelt letvægtsmetal som blev opdaget i 1791.\n\nDet har udmærkede anti-korrosionsegenskaber, og det er det metalliske grundstof som har det største forhold mellem styrke og densitet.

Carbon_Fiber	:	Kulstoffibre
MaterialDescription_Carbon_Fiber	: Kulstoffibre er et stærkt letvægtsmateriale lavet af fiberforstærkede polymerer.\n\nDet bruges inden for ingeniørvidenskab når der er brug for lette, men stærke materialer. Fx inden for luftfartsvidenskab, vingestrukturer kan laves primært af kulstoffibre.

Bare_Prosthetic_Leg	:	Bart kunstigt ben
MaterialDescription_Bare_Prosthetic_Leg	: En funktionsdygtig benprotese uden den endelige kosmetiske behandling.

Leg_Casing	:	Benhylster
MaterialDescription_Leg_Casing	: Det kosmetiske benhylster der skal sættes rundt om pylonen. 

Polyutherane_Foam	:	Polyuretanskum
MaterialDescription_Polyutherane_Foam	: Polyuretanskum er en plastic der er nem at forme.

Eeg_System_2	:	Indkapslet Full Scalp EEG-system
MaterialDescription_Eeg_System_2	: EEG (elektroencefalografi) er en optagelse af elektrisk aktivitet hen over hovedet.\n\nDisse elektroder er sat ind i en hætte lavet af syntetisk gummi.

Angry_Gnome	:	Vred nisse
MaterialDescription_Angry_Gnome	:	En vred nisse er ikke noget smukt syn, og den vil forbande dig.\n\nSå lad være med at drille nissen

Poop	:	Bæ
MaterialDescription_Poop	:	Også kaldet ”afføring”, dette materiale er organisk affald der kan bruges på mange måder, fx til plantegødning, en passiv-aggressiv måde at tage dig af en irriterende nabo eller simpelthen en effektiv måde at holde andre mennesker væk pga. den kraftige stank.

Carbon_Paper	:	Kulstofpapiruel_cells_2
MaterialDescription_Carbon_Paper	: Kulstofpapir består af kulstof­mikrofiber fremstillet i flade ark, og det bruges ofte i elektronik­industrien som elektrodemateriale pga. dets gode elektriske ledeevne.

Catalyst_Covered_Anode_1	:	Katalysatordækket anode
MaterialDescription_Catalyst_Covered_Anode_1	: Anoden er den negative elektrode som taber elektroner ved oxideringen.\n\nDen består af en blanding af materialer: Grafitpulver og Teflon samt nikkel og sølv der fungerer som katalysatorer.

Catalyst_Covered_Anode_2	:	Katalysatordækket anode
MaterialDescription_Catalyst_Covered_Anode_2	: Anoden er den negative elektrode som taber elektroner ved oxideringen.\n\nDen består af kulstofpapir dækket med platin som katalysator.

Catalyst_Covered_Cathode_1	:	Katalysatordækket katode
MaterialDescription_Catalyst_Covered_Cathode_1	: Katoden er den positive elektrode som får elektroner ved reduktion.\n\nDen består af en blanding af materialer: Grafitpulver og Teflon samt sølv der fungerer som katalysator.

Catalyst_Covered_Cathode_2	:	Katalysatordækket katode
MaterialDescription_Catalyst_Covered_Cathode_2	:	Katoden er den positive elektrode som får elektroner ved reduktion.\n\nDen består af kulstofpapir dækket med platin som katalysator.

Fuel_Cell	:	Brændselscelle
MaterialDescription_Fuel_Cell	: Brændselscellen (ligesom et batteri i almindelighed) består af en anode og en katode adskilt i en elektrolyt.

Pem_Fuel_Cell	:	PEM-brændselscelle
MaterialDescription_Pem_Fuel_Cell	: Brændselscellen (ligesom batterier i almindelighed) består af en anode og en katode adskilt af en elektrolyt.\n\nElektrolytten i en PEM-brændselscelle er en fast polymer elektrolytmembran.

Hydrogen	:	Brint
MaterialDescription_Hydrogen	: Brint eller hydrogen (H) er det mest forekommende grundstof i universet, og det har et kraftigt potentiale som brændstof.\n\nNår det reagerer med ilt dannes der energi, der giver et harmløst biprodukt: vand.

Oxygen_Fueled_Cell	:	Iltbrændselscelle
MaterialDescription_Oxygen_Fueled_Cell	: Ilt bruges også som brændstof i brændselsceller, og når det kombinerer med brint dannes et harmløst biprodukt: vand.

Hydrogen_Fueled_Cell	:	Brintbrændselscelle
MaterialDescription_Hydrogen_Fueled_Cell	: Brint er det grundlæggende brændsel i brændselsceller.\n\nAnodekatalysatoren nedbryder brinten, hvorefter elektroner tiltrækkes af katoden.

Pem_Hydrogen_Fueled_Cell	:	PEM-brintbrændselscelle
MaterialDescription_Pem_Hydrogen_Fueled_Cell	: Brint er det grundlæggende brændsel i brændselsceller.\n\nAnodekatalysatoren nedbryder brinten, hvorefter elektroner tiltrækkes af katoden.

Pem_Oxygen_Fueled_Cell	:	PEM-iltbrændselscelle
MaterialDescription_Pem_Oxygen_Fueled_Cell	: Ilt bruges også som brændstof i brændselsceller, og når det kombinerer med brint dannes et harmløst biprodukt: vand.

Polymer_Electrolyte_Membrane	:	Polymer elektrolytmembran
MaterialDescription_Polymer_Electrolyte_Membrane	: En fast elektrolyt lavet af et porøst materiale som kun tillader positive ioner, som tiltrækkes af katoden, at slippe igennem.

Electrolyte	:	Elektrolyt
MaterialDescription_Electrolyte	: Elektrolytten er det middel der lader den elektriske ladning strømme mellem de to elektroder. Det må kun lade de passende ioner passere mellem to de elektroder.

Drug_Delivering_Unit	:	Medicinleveringsenhed
MaterialDescription_Drug_Delivering_Unit	: En enhed som leverer medicin til en patient ved at pumpe medicinen gennem en kanyle. 

Monitoring_Unit	:	Overvågningsenhed
MaterialDescription_Monitoring_Unit	:	Overvågningsenheden måler substanser i kroppen og transmitterer dataene.

Insulin_Delivering_Loop	:	Medicinleveringsloop
MaterialDescription_Insulin_Delivering_Loop	: Et loop placeret i patientens krop og som kan indsamle data fra kroppen og levere medicin.

Needle	:	Kanyle
MaterialDescription_Needle	: En kanyle bruges til at trænge igennem huden og injicere et medikament i patientens krop.

Insulin_Pump	:	Insulinpumpe
MaterialDescription_Insulin_Pump	: En lille maskine på størrelse med en mobiltelefon der bruges til at pumpe en medicin fx insulin.

Diabetes_Transmitter	:	Transmitter
MaterialDescription_Diabetes_Transmitter	: En anordning som trådløst transmitterer informationer til en processor.

Glucose_Sensor	:	Sensor
MaterialDescription_Glucose_Sensor	: En meget lille anordning der er placeret under huden på en patient, og den bliver fastholdt der med et plaster.\n\nDen måler mængden af en substans i kropsvæskerne, fx i tilfælde af diabetes, mængden af glukose.

Aluminium_Oxide_Substrate : Aluminiumoxid-substrat
MaterialDescription_Aluminium_Oxide_Substrate	:	Syntetisk fremstillet aluminiumoxid, et hvidt eller næsten farveløst krystallinsk materiale der bruges som substrat.

Teflon	:	Teflon
MaterialDescription_Teflon	: Teflon er en syntetisk polymer som blev opdaget ved et tilfælde i 1938.\n\nDet bruges ofte som ikke-klistrende overfladebelægning på køkkengrej. Det har også rigtig gode dielektriske egenskaber hvilket gør det brugbart elektrode i batterier.
	


//TECHNOLOGIES

//BRICK
Brick_1	:		Lys lermursten
MaterialDescription_Brick_1	:		En mursten er en blok af æltet lerjord og sand, brændt hård (eller lufttørret), og som bruges til murstensbyggeri.\n\nDen hvidlige farve viser at der ikke blev dannet jernoxid ved opvarmningen.

Brick_2	:		Mørk lermursten
MaterialDescription_Brick_2	:		En mursten er en blok af æltet lerjord og sand, brændt hård (eller lufttørret), og som bruges til murstensbyggeri.\n\nDenne særlige mursten er meget holdbar.


//PAPER
Paper_1:		Papir som ikke er stærkt
MaterialDescription_Paper_1	:		Papir som ikke er stærkt, fremstilles ved mekanisk knusning. Fremstillingsprocessen har færre omkostninger og fri for kemikalier, men den bruger store mængder energi.

Paper_2:		Papir som er stærkt
MaterialDescription_Paper_2	:		Meget stærkt papir fremstilles ved kemisk opløsning i en energieffektiv proces som giver bedre styrke og glans.

Paper_3:		Genbrugspapir
MaterialDescription_Paper_3	:		Papir lavet af gammelt papir. Da papir er et materiale der nemt kan genbruges, nedsætter det miljøpåvirkningerne af at bruge papir når man genbruger det. 

//GLASS
Glass_1:		Normalt glas
MaterialDescription_Glass_1	:		Glas er et amorft (ikke-krystalinsk) fast stof som normalt er skørt og optisk gennemsigtigt.

Glass_2:		Holdbart glas
MaterialDescription_Glass_2	:		Normalt glas går nemt i stykker, derfor skal det laves om til en mere holdbar form til et stort brugsområde. Holdbart glas har mange anvendelsesmuligheder, fx til møbler, husholdningsapparater og selvfølgelig smartphones.

Glass_3:		Miljøvenligt glas
MaterialDescription_Glass_3	:		Miljøvenligt glas er delvist fremstillet af genbrugsglas, og dermed reduceres forbruget af råmaterialer.

//DISPLAY
Display_1:		LED-display
MaterialDescription_display_1	:		Kompakte og bærbare displays. LED-displays er sammensat af lysdioder (lysemitterende dioder – LED’er) og flydende krystaller. Lysdioder producerer lys, og de flydende krystaller styrer intensiteten af dette lys når vi ændrer deres retning.

Display_2:		OLED-display
MaterialDescription_display_2	:		Organiske LED-displays er baseret på organiske materialer for at deres LED’er kan lyse.\n\nDe er kompakte og bærbare og kan også bøjes.

Display_3:		IGZO-display
MaterialDescription_display_3	:		IGZO-displays bruger gennemsigtigt halvleder-materiale. Det gør dem ideelle til brug i gennemsigtige elektroniske anordninger.\n\nIGZO-teknologi findes i smartphones og tabletdisplays.



//SEMICONDUCTOR
SemiConductor_1:		Halvleder
MaterialDescription_SemiConductor_1	:		En halvleder er et materiale som har en elektrisk ledeevne der let kan ændres.\n\nDen kan tunes til enten at fungere som en leder eller en isolator.

SemiConductor_2:		pn-overgangshalvleder
MaterialDescription_SemiConductor_2	:		Når en p-type og en n-type halvleder bringes i kontakt med hinanden opstår et halvledermateriale med en tosidet natur.\n\nDet er den fundamentale anordning bag den digitale tidsalders elektronik.


//WORLD BATTERY
WorldBattery_1:		Piezoelectrisk anordning
MaterialDescription_WorldBattery_1	:		Piezoelektriske anordninger er anordninger som høster mekanisk energi (menneskelig bevægelse, lydbølger, vind) og laver den om til elektrisk energi vha. en kategori af materialer som kaldes piezoelektriske.

WorldBattery_2:		Termoelektrisk generator
MaterialDescription_WorldBattery_2	:		Termoelektriske generatorer er anordninger som omdanner termisk energi til elektricitet, som regel med en effektivitet på 7-8 %.


//STEEL
Steel_1:		Bygningsstål
MaterialDescription_Steel_1	:		Stål er en metallegering af jern og kulstof. Bygningsstål gør det muligt at bygge større og stærkere byggerier som kan modstå bøjende kræfter og give bedre jordskælvsbeskyttelse.

Steel_2:		Kabelstål 
MaterialDescription_Steel_2	:		Kabelstål et meget stærkt stål der bruges til bygning af broer, elevatorer og kraner.

Steel_3:		Rustfrit stål
MaterialDescription_Steel_3	:		Rustfrit stål er meget modstandsdygtigt mod korrosion, hvilket gør det brugbart til redskaber der kommer i kontakt med væsker.


//ARTIFICIAL PHOTOSYNTHESIS
ArtificialPhotoSynthesis_1:		Kunstigt blad
MaterialDescription_ArtificialPhotosynthesis_1	:	 Et kunstigt blad er en anordning hvor en kemisk proces efterligner den naturlige proces, fotosyntesen. Det kunstige blad høster sollys for at splitte vandmolekyler og producere brint. Brinten kan så bruges som brændstof.

ArtificialPhotoSynthesis_2:		Super-kunstigt blad
MaterialDescription_ArtificialPhotosynthesis_2	:		 Et kunstigt blad er en anordning hvor en kemisk proces efterligner den naturlige proces, fotosyntesen. Det meget kunstige blad høster sollys for at splitte vandmolekyler og producere brint. Brinten kan så bruges som brændstof.\n\nÆdelmetaller som er svære at finde her på Jorden, udskiftes med avancerede materialer hvilket gør processen mere bæredygtig.


//STEEL
LabOnAChip_1:		Et laboratorium på en chip
MaterialDescription_LabOnAChip_1 :		Et laboratorium på en chip (LoC) er en anordning hvor alle funktioner i et laboratorium er formindsket til nogle få kvadratcentimeter. Det hjælper til med at diagnosticere tidligt og forbedre chancerne for helbredelse.

LabOnAChip_2:		Polymer-laboratorium på en chip 
MaterialDescription_LabOnAChip_2 :		Et laboratorium på en chip (LoC) er en anordning hvor alle funktioner i et laboratorium er formindsket til nogle få kvadratcentimeter. Det hjælper til med at diagnosticere tidligt og forbedre chancerne for helbredelse.\nDen her er baseret på et polymersubstrat, hvilket gør fremstillingsprocessen mere fleksibel og biokompatibel sammenlignet med substrater af glas eller silicium.

LabOnAChip_3:		Papir-laboratorium på en chip 
MaterialDescription_LabOnAChip_3 :		Et laboratorium på en chip (LoC) er en anordning hvor alle funktioner i et laboratorium er formindsket til nogle få kvadratcentimeter. Det hjælper til med at diagnosticere tidligt og forbedre chancerne for helbredelse.\nDet her papir-LoC opsuger væsker passivt, er billig og biokompatibel, og det giver en hurtig og visuel detektion.


//BATTERY
Battery_1:			Alkalinsk batteri
MaterialDescription_Battery_1	:		Engangsbatterier frembringer elektricitet fra en irreversibel kemisk reaktion, og de kan derfor ikke genoplades.\nDe bruges til at give strøm til apparater som fx MP3-spillere, ure, lommelygter eller endog pacemakere.

Battery_2:			Litiumion-batteri
MaterialDescription_Battery_2	:		Genopladelige batterier kan genoplades mange gange indtil de til sidst ikke virker mere. De findes som regel i bærbare og mobiltelefoner.\nBatteriet aflades og genoplades ved at ændre retningen af den elektrokemiske reaktion.

Battery_3:			Litium-jernfosfat-batteri
MaterialDescription_Battery_3	:		En mere avanceret type genopladeligt batteri kan holde mindre energi, men det kan levere den meget hurtigt. Det er lille og har en længere levetid.\n\nDet bruges i elektriske biler og som anordninger til backupstrøm.


//INTERNET OF THINGS
InternetOfThings_1:	Internet af ting
MaterialDescription_InternetOfThings_1	:	I fremtiden vil de fleste genstande være udstyret med elektroniske anordninger der er forbundet til et fælles netværk.\n\nDet vil gøre det muligt for en person at overvåge husholdningsapparater og interagere med dem uden selv at være til stede.


//TRANSIENT ELECTRONICS
TransientElectronics_1:	Papir-solcelle
MaterialDescription_TransientElectronics_1	:	En ny tendens inden for miljøvenlige materialer til solceller er kommet frem i de seneste år pga. giftighed og problemer med genbrug af konventionelle materialer.\n\nSolceller af papir er billigere og genbrugelige.

TransientElectronics_2:	Midlertidigt batteri
MaterialDescription_TransientElectronics_2	: En opløselig anordning som kan implanteres i en menneskekrop til at forsyne strøm til elektronik.\n\nDet midlertidige batteri kan bruges til at forsyne strøm til små apparater og bagefter blive opløst i vand eller menneskelige væsker da det er biologisk nedbrydeligt.


//SOLAR PANEL
SolarPanel_1:			Solcelle
MaterialDescription_SolarPanel_1	:		En solcelle (eller fotovoltaisk celle) er en anordning som omdanner solenergi til elektrisk energi.\nSolenergi er en vedvarende form af energi, og dets udnyttelse giver en mere bæredygtig måde at producere elektrisk energi, sammenlignet med fossile brændstoffer.

SolarPanel_2:			Tynd-film-solcelle
MaterialDescription_SolarPanel_2	:		En tyndfilm-solcelle bruger sollys til at producere elektrisk energi. Det er for det meste baseret på amorft (ikke-krystalinsk) siliciumlag med en tykkelse på nogle få nanometer, meget tyndere end konventionelle solceller.\n\nDens effektivitet er mindre end konventionelle solceller.

SolarPanel_3:			Organisk solcelle
MaterialDescription_SolarPanel_3	:		Organiske solceller er baseret på halvleder-polymerer, og de kan være billigere end almindelige og tyndfilm-solceller.\n\nPolymerer er organiske materialer som lover mere bæredygtige solceller.


//Photoreduction of co2
PhotoReductionOfCO2_1:			Krukkelampe-reaktor
MaterialDescription_PhotoReductionOfCO2_1	:		Denne reaktor gør det muligt at reducere CO2 koncentrationen i luften og samtidigt producere brugbart brændstof og ilt.\n\nDet er en kemisk reaktion der finder sted katalyseret af en fotokatalysator og tilstedeværelsen af lys.

PhotoReductionOfCO2_2:			Optisk fiberreaktor
MaterialDescription_PhotoReductionOfCO2_2	:		Den optiske fiberreaktor reducerer CO2 koncentrationen i luften samtidigt med at den producerer brugbart brændstof og ilt.\n\nDet tilstedeværende lys kommer ind i reaktoren gennem optiske fibre. Det gør processen mere effektiv end i glaskrukkereaktoren.

PhotoReductionOfCO2_3:			Naturligt lys-reaktor
MaterialDescription_PhotoReductionOfCO2_3	:		Denne reaktor bruger koncentreret sollys til at aktivere fotokatalysatoren.\n\nVanddampe og atmosfærisk luft flyder gennem et rør hen til fotokatalysatoren som er placeret på indersiden af røret. 


//Carbon nanotubes
CarbonNanoTubes_1:			Kulstof­nanorør (CNT’er)
MaterialDescription_CarbonNanoTubes_1	:	Kulstofnanorør (CNT’er) er rørformede materialer som er 50,000 gange tyndere end et menneskehår og 500 gange stærkere end stål.\n\nDe byder på utrolige og unikke mekaniske, termiske og elektriske egenskaber.

CarbonNanoTubes_2:			CNT/polymer kompositter
MaterialDescription_CarbonNanoTubes_2	:	Polymerer er elektriske og termiske isolatorer med lav styrke og hårdhed. CNT’er kan bruges som avanceret fyldmateriale i polymer­kompositter hvilket gør dem hårdere og stærkere.\n\nCNT’er/polymer­kompositter giver en forøget elektrisk og termisk ledeevne sammenlignet med den oprindelige polymer.


//WATER DESALINATION
WaterDesalination_1:	Afsaltning med omvendt osmose
MaterialDescription_WaterDesalination_1	: Afsaltning med omvendt osmose er en vandrensnings­teknologi som anvender halv­gennem­trængelige membraner og tryk for at udskille salte og andre mineraler fra havvand for at fremstille ferskvand.

WaterDesalination_2:	Afsaltning med omvendt osmose (grafen)
MaterialDescription_WaterDesalination_2	: Afsaltning med omvendt osmose er en vand­rensnings­teknologi.\nBrugen af grafen i en avanceret membran til at udskille salte og andre mineraler fra havvand er mere energi­effektivt, og det giver en højere mængde af vand­strøm sammenlignet med de halvgennemtrængelige membraner.

WaterDesalination_3:	Aquaporiner
MaterialDescription_WaterDesalination_3	: Aquaporiner er vandkanal-proteiner der findes i næsten alt levende. Brugen af aquaporiner på en halvgennemtrængelig membran er supper effektivt idet de kun tillader vandmolekyler at trænger igennem.

//TARGETED DRUG DELIVERY
TargetedDrugDelivery_1:	Avanceret medicinlevering
MaterialDescription_TargetedDrugDelivery_1	: Avanceret medicinlevering betyder at transportere og levere et medikament i kroppen. Medikamentet vedhæftes en bærer­platform og overføres til kroppen. Der bruges mange forskellige mikro-/nanobærer, fx nano­partikler, proteiner og liposomer. I dette tilfælde bruges et liposom (en boble med samme struktur som en celle­membran) som bærer­platform.

TargetedDrugDelivery_2:	Smart medicinlevering
MaterialDescription_TargetedDrugDelivery_2	: Smart medicinlevering kan målrette medikamentet mod konkrete væv eller organer til forskel fra avanceret medicinlevering, og derfor kan man opnå en helbredelse.\nSmarte medicin­leverings­systemer benytter billed­dannelses­midler som kan opfange mængden af medikament og hvor det er placeret, hvilket gør det mere effektivt.

TargetedDrugDelivery_3: Biofeedback medicinlevering
MaterialDescription_TargetedDrugDelivery_3	: Et medicin­leverings­­system der samtidigt kan overvåge, analysere og levere et medikament.\nDisse systemer er sammensat af en sensor, en algoritme til at beregne doseringen og et system til at levere medikamentet.


//NANOROBOTS
NanoRobots_1:	Nanorobotter
MaterialDescription_NanoRobots_1	: En fremtidig teknologi inden for medicinlevering som består af mikroskopiske anordninger inde i kroppen.\nAnordningen er i stand til samtidigt at registrere, kommunikere og behandle informationerne og så frigive den optimale dosis medicin når og hvor det behøves i kroppen.


//BRAIN COMPUTER INTERFACES
BrainComputerInterfaces_1:	Hjerne­computer­grænseflade i hovedbånd
MaterialDescription_BrainComputerInterfaces_1	:  En grundlæggende sammensætning af en hjerne­computer­grænseflade (Brain Computer Interface – BCI), et system som bruger hjernebølger til at styre og overvåge elektroniske anordninger. Denne anordning har en grundlæggende registrering af hjernebølgeaktivitet, og den hjælper med at overvåge mentale tilstande.\n\nDen kan give informationer og konkrete følelser og overvåge søvnstadier.

BrainComputerInterfaces_2:	Hjernecomputergrænseflade over hele kraniet
MaterialDescription_BrainComputerInterfaces_2	: Denne hjerne­computer­grænseflade (BCI) anvender et ikke-invasivt elektroencefalografi­system (eeg) med 32 kanaler. Anvendelsen af flere elektroder i bedre kvalitet giver systemet en mere præcis aflæsning af hjernebølgerne, og det gør det muligt for en person at styre en markør.

BrainComputerInterfaces_3:	Invasiv hjerne­computer­grænseflade 
MaterialDescription_BrainComputerInterfaces_3	: Denne hjerne­computer­grænseflade (BCI) anvender elektrode inde i kraniet til at registrere ECoG (elektro-cortico-grafiske) signaler, hvilket betyder at signalerne registreres direkte fra hjernebarken (cortex) hvilket eliminerer støj­faktorer.\n\nDet kan give kontrol med bevægelsen af proteser og endog hjerne til hjerne kommunikation mellem to brugere, aka telepati.



//PRINTABLE PROSTHETICS
PrintableProsthetics_1:	Protese
MaterialDescription_PrintableProsthetics_1	: Proteser er enten eksterne eller implantat­anordninger der er fremstillet for at erstatte eller supplere en manglende kropsdel.


//FUEL CELLS
FuelCells_1:	Alkaliske brændselsceller
MaterialDescription_FuelCells_1	: En brændselscelle er en anordning som frembringer elektricitet gennem en kemisk reaktion hvor brint er der grundlæggende brændstof. En af de meget tiltrækkende ting ved brændselsceller er at de danner elektricitet uden at forurene miljøet, idet deres væsentlige biprodukter er varme og vand.

FuelCells_2:	PEM-brændselsceller
MaterialDescription_FuelCells_2	: Brændselscellen med protron­udvekslings­membran er en af de mest almindeligt brugte typer af brændselsceller.\n\nDa de er baseret på en elektrolyt som er et fast stof, kan de ikke lække, og da de fungerer ved lave temperaturer, er de velegnede til biler og hjem.




Oil:	Olie
MaterialDescription_Oil	: Det kaldes også sort guld, den her sorte klæbrige substans som kan gøre en utrolig rig i denne moderne tidsalder, og som har forskellige anvendelsesmuligheder lige fra brændstof til medicinalvarer.\n\nPå trods af dets brugbarhed i det moderne samfund, har det haft negative indvirkninger på Jordens biosfære, har skadet økosystemer med olieudslip og har sendt en masse forurening ud i luften.


Boom:	Bum
MaterialDescription_Boom	: Hvem satte bum i bum shh-bum shh-bum?\nHvem satte tingen og tingen sammen nu?\nHvor er ham fyren som lavede alt det her rod?\nHvem vidste ikke at når disse ting blev sat sammen så ville det sige POW!


